couldn't open "transcript": permission denied
# Reading pref.tcl
# //  Questa Sim-64
# //  Version 2023.3 win64 Jul 17 2023
# //
# //  Copyright 1991-2023 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
cd {\\thoth.cecs.pdx.edu\Home02\atmakuri\Desktop\Pre Si\Pre Silicon Project}
do run.do
# ** Warning: (vlib-34) Library already exists at "work".
# Errors: 0, Warnings: 1
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:23:11 on Apr 24,2024
# vlog -reportprogress 300 fifo_memory.sv 
# -- Compiling module fifomem
# 
# Top level modules:
# 	fifomem
# End time: 23:23:12 on Apr 24,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:23:12 on Apr 24,2024
# vlog -reportprogress 300 r_pointer_epty.sv 
# -- Compiling module rptr_empty
# 
# Top level modules:
# 	rptr_empty
# End time: 23:23:12 on Apr 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:23:12 on Apr 24,2024
# vlog -reportprogress 300 sync_r2w.sv 
# -- Compiling module sync_r2w
# 
# Top level modules:
# 	sync_r2w
# End time: 23:23:12 on Apr 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:23:12 on Apr 24,2024
# vlog -reportprogress 300 syncw2r.sv 
# -- Compiling module sync_w2r
# 
# Top level modules:
# 	sync_w2r
# End time: 23:23:13 on Apr 24,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:23:13 on Apr 24,2024
# vlog -reportprogress 300 w_ptr_wfull.sv 
# -- Compiling module wptr_full
# 
# Top level modules:
# 	wptr_full
# End time: 23:23:13 on Apr 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:23:13 on Apr 24,2024
# vlog -reportprogress 300 testbench.sv 
# -- Compiling module async_fifo1_tb
# 
# Top level modules:
# 	async_fifo1_tb
# End time: 23:23:13 on Apr 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:23:13 on Apr 24,2024
# vlog -reportprogress 300 top.sv 
# -- Compiling module async_fifo1
# 
# Top level modules:
# 	async_fifo1
# End time: 23:23:13 on Apr 24,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2023.3 Compiler 2023.07 Jul 17 2023
# Start time: 23:23:13 on Apr 24,2024
# vlog -reportprogress 300 testbench.sv 
# -- Compiling module async_fifo1_tb
# 
# Top level modules:
# 	async_fifo1_tb
# End time: 23:23:14 on Apr 24,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim -c async_fifo1_tb -gADDRSIZE=456 
# Start time: 23:23:14 on Apr 24,2024
# ** Note: (vsim-3812) Design is being optimized...
# Loading sv_std.std
# Loading work.async_fifo1_tb(fast)
# End time: 23:23:31 on Apr 24,2024, Elapsed time: 0:00:17
# Errors: 0, Warnings: 0
# vsim work.async_fifo1_tb 
# Start time: 23:23:31 on Apr 24,2024
# ** Note: (vsim-3812) Design is being optimized...
# Loading sv_std.std
# Loading work.async_fifo1_tb(fast)
# End time: 23:23:39 on Apr 24,2024, Elapsed time: 0:00:08
# Errors: 0, Warnings: 0
# vsim -voptargs="+acc" work.async_fifo1_tb 
# Start time: 23:23:39 on Apr 24,2024
# ** Note: (vsim-3812) Design is being optimized...
# ** Warning: (vopt-10587) Some optimizations are turned off because the +acc switch is in effect. This will cause your simulation to run slowly. Please use -access/-debug to maintain needed visibility.
# ** Note: (vsim-12126) Error and warning message counts have been restored: Errors=0, Warnings=1.
# Loading sv_std.std
# Loading work.async_fifo1_tb(fast)
# Loading work.async_fifo1(fast)
# Loading work.sync_r2w(fast)
# Loading work.sync_w2r(fast)
# Loading work.fifomem(fast)
# Loading work.rptr_empty(fast)
# Loading work.wptr_full(fast)
# ** Warning: (vsim-WLF-5000) WLF file currently in use: vsim.wlf
#           File in use by: atmakuri  Hostname: REMOTELAB41  ProcessID: 9816
#           Attempting to use alternate WLF file "./wlft7xtxt5".
# ** Warning: (vsim-WLF-5001) Could not open WLF file: vsim.wlf
#           Using alternate file: ./wlft7xtxt5
# Checking rdata: expected wdata = 49, rdata = 49
# Checking rdata: expected wdata = 7a, rdata = 7a
# Checking rdata: expected wdata = 7e, rdata = 7e
# Checking rdata: expected wdata = da, rdata = da
# Checking rdata: expected wdata = 4e, rdata = 4e
# Checking rdata: expected wdata = 02, rdata = 02
# Checking rdata: expected wdata = 9b, rdata = 9b
# Checking rdata: expected wdata = d9, rdata = d9
# Checking rdata: expected wdata = 4c, rdata = 4c
# Checking rdata: expected wdata = 57, rdata = 57
# Checking rdata: expected wdata = 9b, rdata = 9b
# Checking rdata: expected wdata = cf, rdata = cf
# Checking rdata: expected wdata = f3, rdata = f3
# Checking rdata: expected wdata = 46, rdata = 46
# Checking rdata: expected wdata = 10, rdata = 10
# Checking rdata: expected wdata = 80, rdata = 80
# Checking rdata: expected wdata = d8, rdata = d8
# Checking rdata: expected wdata = 2c, rdata = 2c
# Checking rdata: expected wdata = 88, rdata = 88
# Checking rdata: expected wdata = 07, rdata = 07
# Checking rdata: expected wdata = e3, rdata = e3
# Checking rdata: expected wdata = f3, rdata = f3
# Checking rdata: expected wdata = 50, rdata = 50
# Checking rdata: expected wdata = e2, rdata = e2
# Checking rdata: expected wdata = 73, rdata = 73
# Checking rdata: expected wdata = bb, rdata = bb
# Checking rdata: expected wdata = fc, rdata = fc
# Checking rdata: expected wdata = ae, rdata = ae
# Checking rdata: expected wdata = cf, rdata = cf
# Checking rdata: expected wdata = b6, rdata = b6
# Checking rdata: expected wdata = c7, rdata = c7
# Checking rdata: expected wdata = 37, rdata = 37
# Checking rdata: expected wdata = 1a, rdata = 1a
# Checking rdata: expected wdata = 88, rdata = 88
# Checking rdata: expected wdata = 7b, rdata = 7b
# Checking rdata: expected wdata = 84, rdata = 84
# Checking rdata: expected wdata = 0c, rdata = 0c
# Checking rdata: expected wdata = ba, rdata = ba
# Checking rdata: expected wdata = b9, rdata = b9
# Checking rdata: expected wdata = 48, rdata = 48
# Checking rdata: expected wdata = f9, rdata = f9
# Checking rdata: expected wdata = 90, rdata = 90
# Checking rdata: expected wdata = 90, rdata = 90
# Checking rdata: expected wdata = fd, rdata = fd
# Checking rdata: expected wdata = db, rdata = db
# Checking rdata: expected wdata = 6e, rdata = 6e
# Checking rdata: expected wdata = b9, rdata = b9
# Checking rdata: expected wdata = a3, rdata = a3
# Checking rdata: expected wdata = 4e, rdata = 4e
# Checking rdata: expected wdata = 6f, rdata = 6f
# Checking rdata: expected wdata = 9a, rdata = 9a
# Checking rdata: expected wdata = 89, rdata = 89
# Checking rdata: expected wdata = b5, rdata = b5
# Checking rdata: expected wdata = 7b, rdata = 7b
# Checking rdata: expected wdata = 58, rdata = 58
# Checking rdata: expected wdata = 8e, rdata = 8e
# Checking rdata: expected wdata = a8, rdata = a8
# Checking rdata: expected wdata = 89, rdata = 89
# Checking rdata: expected wdata = ac, rdata = ac
# Checking rdata: expected wdata = a5, rdata = a5
# Checking rdata: expected wdata = 21, rdata = 21
# Checking rdata: expected wdata = 9d, rdata = 9d
# Checking rdata: expected wdata = f6, rdata = f6
# Checking rdata: expected wdata = a9, rdata = a9
# Checking rdata: expected wdata = a7, rdata = a7
# Checking rdata: expected wdata = 73, rdata = 73
# Checking rdata: expected wdata = 76, rdata = 76
# Checking rdata: expected wdata = 08, rdata = 08
# Checking rdata: expected wdata = 62, rdata = 62
